CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,Kolkata,[JUICES],JUCS250,APPLE DRINK(48X250)ML,0.28,0.00,-,?,0,0,-,?
BFPL,EAST,Kolkata,[JUICES],JUCS250,GUAVA DRINK 48X250ML,0.13,0.00,-,?,0,0,-,?
BFPL,EAST,Kolkata,[JUICES],JUCS250,MANGO DRINK(48X250)ML,0.09,0.00,-,?,0,0,-,?
BFPL,EAST,Kolkata,[JUICES],JUCS250,ORANGE DRINK(48X250)ML,0.13,0.00,-,?,0,0,-,?
BFPL,EAST,Kolkata,[JUICES],JUCS250,PINEAPPLE DRINK(48X250)ML,0.13,0.00,-,?,0,0,-,?
BFPL,EAST,Kolkata,[JUICES],JUCS800,PINEAPPLE JUICE (24X800ML),0.08,0.37,-0.77,?,0,1,-0.81,?
BFPL,EAST,Kolkata,[PUREE],PUREE,TOMATO PUREE (24X850)GM,1.84,4.53,-0.59,?,3,8,-0.62,?
BFPL,EAST,Kolkata,[PUREE],PUREE,TOMATO PUREE (48X250)GM,0.04,0.75,-0.95,?,0,1,-0.95,?
BFPL,EAST,Kolkata,[SAUCE],SAUC 1KG,TOMATO KETCHUP (STANDY) (12 X 1000KG),2.24,3.48,-0.36,?,3,5,-0.35,?
BFPL,EAST,Kolkata,[SAUCE],SAUC 200,TOMATO CH SAUCE (24X200)GM,0.27,0.39,-0.31,?,0,0,-0.26,?
BFPL,EAST,Kolkata,[SAUCE],SAUC 200,TOMATO KETCH UP (24X200)GM,1.15,1.91,-0.40,?,1,1,-0.37,?
BFPL,EAST,Kolkata,[SAUCE],SAUC 200,TOMATO SAUCE (24X200)GM,0.04,0.07,-0.50,?,0,0,-0.50,?
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,LEMON BARLEY WATER (12X700)ML,0.58,0.84,-0.31,?,1,1,-0.33,?
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,LEMON SQUASH (12X700)ML,3.55,1.49,1.39,?,5,2,1.43,?
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,LIME JUICE CORDIAL-P 12X700 ML,0.65,1.25,-0.48,?,1,1,-0.49,?
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,MANGO PANNA (12X500)ML,7.24,0.91,6.97,?,6,1,7.20,?
